timestamp (seconds since 01/01/1970), system, entity , value (m/s)
1756381045.654977, lauv-fridtjof, 61, 1478.472900
1756381045.691631, lauv-fridtjof, 71, 1494.079956
1756381045.749993, lauv-fridtjof, 71, 1494.079956
1756381045.800006, lauv-fridtjof, 71, 1494.079956
1756381045.850583, lauv-fridtjof, 61, 1478.453613
1756381045.858383, lauv-fridtjof, 71, 1494.079956
1756381045.916654, lauv-fridtjof, 71, 1494.079956
1756381045.975008, lauv-fridtjof, 71, 1494.079956
1756381046.024960, lauv-fridtjof, 71, 1494.079956
1756381046.055268, lauv-fridtjof, 61, 1478.435669
1756381046.083305, lauv-fridtjof, 71, 1494.079956
1756381046.141601, lauv-fridtjof, 71, 1494.089966
1756381046.199969, lauv-fridtjof, 71, 1494.079956
1756381046.249944, lauv-fridtjof, 71, 1494.079956
1756381046.254352, lauv-fridtjof, 61, 1478.382568
1756381046.309340, lauv-fridtjof, 71, 1494.079956
1756381046.366592, lauv-fridtjof, 71, 1494.089966
1756381046.424942, lauv-fridtjof, 71, 1494.089966
1756381046.455771, lauv-fridtjof, 61, 1478.380005
1756381046.475056, lauv-fridtjof, 71, 1494.079956
1756381046.533298, lauv-fridtjof, 71, 1494.079956
1756381046.591698, lauv-fridtjof, 71, 1494.079956
1756381046.650021, lauv-fridtjof, 71, 1494.079956
1756381046.651045, lauv-fridtjof, 61, 1478.358154
1756381046.700490, lauv-fridtjof, 71, 1494.079956
1756381046.758333, lauv-fridtjof, 71, 1494.069946
1756381046.817655, lauv-fridtjof, 71, 1494.079956
1756381046.856105, lauv-fridtjof, 61, 1478.344360
1756381046.875800, lauv-fridtjof, 71, 1494.069946
1756381046.924937, lauv-fridtjof, 71, 1494.079956
1756381046.984052, lauv-fridtjof, 71, 1494.069946
1756381047.041604, lauv-fridtjof, 71, 1494.069946
1756381047.054759, lauv-fridtjof, 61, 1478.322266
1756381047.100008, lauv-fridtjof, 71, 1494.069946
1756381047.150057, lauv-fridtjof, 71, 1494.060059
1756381047.208288, lauv-fridtjof, 71, 1494.060059
1756381047.250702, lauv-fridtjof, 61, 1478.291138
1756381047.266930, lauv-fridtjof, 71, 1494.060059
1756381047.324974, lauv-fridtjof, 71, 1494.060059
1756381047.375029, lauv-fridtjof, 71, 1494.060059
1756381047.433425, lauv-fridtjof, 71, 1494.069946
1756381047.453854, lauv-fridtjof, 61, 1478.288574
1756381047.491682, lauv-fridtjof, 71, 1494.079956
1756381047.549909, lauv-fridtjof, 71, 1494.089966
1756381047.600041, lauv-fridtjof, 71, 1494.089966
1756381047.650532, lauv-fridtjof, 61, 1478.268921
1756381047.659084, lauv-fridtjof, 71, 1494.089966
1756381047.716634, lauv-fridtjof, 71, 1494.089966
1756381047.775043, lauv-fridtjof, 71, 1494.089966
1756381047.825018, lauv-fridtjof, 71, 1494.089966
1756381047.854569, lauv-fridtjof, 61, 1478.266724
1756381047.883309, lauv-fridtjof, 71, 1494.089966
1756381047.941588, lauv-fridtjof, 71, 1494.079956
1756381048.000905, lauv-fridtjof, 71, 1494.079956
1756381048.050102, lauv-fridtjof, 71, 1494.069946
1756381048.053677, lauv-fridtjof, 61, 1478.244629
1756381048.108711, lauv-fridtjof, 71, 1494.069946
1756381048.166583, lauv-fridtjof, 71, 1494.069946
1756381048.225027, lauv-fridtjof, 71, 1494.069946
1756381048.251954, lauv-fridtjof, 61, 1478.240234
1756381048.275052, lauv-fridtjof, 71, 1494.060059
1756381048.333924, lauv-fridtjof, 71, 1494.060059
1756381048.391661, lauv-fridtjof, 71, 1494.069946
1756381048.449984, lauv-fridtjof, 71, 1494.060059
1756381048.456533, lauv-fridtjof, 61, 1478.239380
1756381048.499965, lauv-fridtjof, 71, 1494.069946
1756381048.558434, lauv-fridtjof, 71, 1494.069946
